epoch,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,24.540390714246836,25.03512027939754,29.746055231521378,12.980673990329775,13.472167063160104,16.890423406072024
2,13.686741995455614,14.178920407793415,17.608948738895247,10.190633906035863,10.680658909453063,13.218000836733008
3,12.358232454043716,12.849642537956807,15.907742513115727,10.198497062971612,10.688403642478109,13.367449015128512
4,11.375246660744965,11.865825324272041,14.722498856017838,9.76896645041073,10.257848531258206,12.862629758209742
5,10.446360662801942,10.93613025466008,13.647950045030509,9.135054255733971,9.624252876313795,12.084306821101853
6,10.014527431886588,10.504127999917785,13.054605659086313,8.644995693399125,9.13204000777557,11.719182423182897
7,9.364184600203785,9.853519096659191,12.32695840935209,8.832493405382172,9.319654917516628,11.940881280338063
8,9.043038782432898,9.53103036666984,11.92744597605805,9.481203511983407,9.97153133504531,12.48905962054469
9,8.609785205570619,9.098514763276969,11.403326786809894,9.5218203809081,10.011071830236611,12.775042157213226
10,8.415020567623538,8.903006840819744,11.16212829262463,8.132188760933756,8.618200758926006,11.003351740476464
11,8.216863444314074,8.704310494038596,10.896554152645281,8.791085688005976,9.277433451484232,11.697265733189944
12,7.8144093122055285,8.301542378895318,10.485047408716003,7.80617742177819,8.29334487434195,10.703977540761484
13,7.648614465656565,8.13574157152603,10.247790654737559,8.378526423157764,8.867145786766244,11.220597932318679
14,7.553382615900752,8.039759076531254,10.17338402449195,7.961357886049928,8.44918581217277,10.755905163388292
15,7.515642051198589,8.001659108631646,10.128335909345257,7.645278642157547,8.131229240353369,10.435982780296262
16,7.347898412818339,7.832995236453725,9.927923361934832,8.128877675833822,8.615244388580322,10.922626583516097
17,7.188203617352158,7.6721961409298345,9.705392532206293,7.556517048042362,8.044454698803044,10.234407821623217
18,6.903499608609214,7.388583830933072,9.372791379957057,8.32755365692267,8.815750362492409,11.23430688040597
19,6.892196039299467,7.376208793227352,9.309549220284419,7.234112887823281,7.718180602338133,9.990318310360948
20,6.79999571771764,7.285813283208591,9.209443376313395,7.440278614268584,7.923725408666274,10.322095201796845
21,6.69748938510667,7.181395060980498,9.082160840817352,7.421866294716587,7.908468180343885,10.125821113586426
22,6.630471747668821,7.11531687031931,8.972909057674123,7.121941706713508,7.606366257707612,9.907797701218549
23,6.577394363417555,7.061476922746914,8.938397319281279,8.441864244076385,8.928308058185738,11.425957150819922
24,6.379514533370289,6.8626702860220155,8.653785492768929,7.770065572081494,8.256672306221072,10.477896838628945
25,6.248560398372252,6.731817695276061,8.521447268528725,7.755327869864071,8.240420233301755,10.606028857351351
